hgnc_symbol	adipose	colon	heart	hypothalamus	kidney	liver	lung	ovary	skeletalmuscle	spleen	testes
ADAR	9.187	6.708	9.809	20.712	12.657	14.855	11.757	14.295	5.387	24.774	15.414
ADARB1	1.811	1.023	1.924	3.376	1.395	0.432	3.983	0.87	1.161	2.438	1.09
ADARB1	1.486	0.867	1.686	2.963	1.093	0.385	3.323	0.744	1.044	2.138	0.905
ADARB1	1.165	0.644	1.377	2.308	0.918	0.404	2.818	0.727	0.839	1.836	0.832
ADC	0.034	0.177	0.103	0.573	0.076	0	0.026	0.079	0.02	0.012	0.309
ADCK1	0.444	0.184	0.209	0.577	0.482	0.417	0.266	0.172	0.309	0.387	0.211
WNK3	0.029	0.095	0.578	1.951	1.138	4.323	0.205	2.6	0.07	0.282	13.504
ADCY6	2.623	1.719	2.277	0.675	1.542	0.401	1.024	0.658	0.312	0.468	0.795
ADCY7	2.423	1.512	1.4	1.093	0.601	0.284	2.402	3.315	0.536	5.548	0.692
ADCY8	0	0	0	2.938	0.023	0.01	0	0.005	0	0	0.352
ADCYAP1R1	0.447	0.47	0.352	9.363	0	0.025	0.103	0.14	0	0.185	0.21
ADD3	8.783	6.487	15.576	27.829	19.73	2.06	10.067	11.18	2.972	10.006	16.525
ADH1C	1.147	14.629	0.519	0	1.196	26.101	0.518	0.17	1.797	0.241	0.681
ADH5	12.879	5.808	12.52	8.229	17.664	15.267	8.1	9.159	5.267	8.436	14.05
ADH6	0.197	1.138	0.067	0.027	3.539	16.506	0.101	0.178	0.182	0.145	0.162
ADIPOQ	129.082	5.589	2.183	0.017	0.348	0.009	0.08	0.034	0.768	0.028	0.308
ADIPOR1	3.556	2.66	9.124	7.108	6.546	11.79	7.941	4.426	6.451	10.757	7.579
ADIPOR1	3.543	2.65	9.09	7.081	6.522	11.746	7.911	4.41	6.427	10.717	7.551
ADK	3.104	0.593	3.519	4.859	3.812	14.828	4.233	1.735	2.467	3.684	4.595
ADM2	0	0.073	0.044	0	0.917	0.105	0.02	0.014	0	0.156	0.041
ADNP	5.947	4.953	6.158	11.572	8.797	4.812	7.257	17.346	7.787	14.141	15.986
ADORA3	0.102	0.287	0.624	0.74	0.017	0.32	0.933	0	0	0.957	0.766
ADPRH	3.684	0.778	2.326	1.201	1.364	0.884	3.022	0.52	1.72	5.582	2.025
ADPRHL1	0.314	0.275	25.931	0.425	0.188	0.108	0.136	0.277	13.543	0.068	0.503
ADPRHL2	0.435	0.441	0.441	0.83	0.724	0.432	0.217	0.216	0.487	0.466	1.086
ADRA1A	3.835	0.167	2.394	1.95	0.056	11.318	0.776	0.192	0.067	2.792	0.219
ADRB2	3.197	0.202	0.523	0.373	0.21	0.538	2.056	0.132	1.138	1.374	0.116
ADRB3	0.042	0.321	0.042	0.029	0.063	0.031	0.075	0.167	0.008	0.134	0.077
ADRBK1	0.672	1.456	0.985	2.178	0.689	0.647	1.665	0.29	0.458	3.089	0.446
ADSSL1	0.182	0.255	5.267	0.565	1.115	2.348	0.499	0.265	25.822	0.07	1.281
AEBP1	12.102	7.694	19.688	5.32	7.042	1.499	12.361	23.761	3.727	11.201	18.264
AEBP2	1.583	1.867	2.352	3.602	2.932	0.988	2.53	4.698	1.344	3.374	4.195
AFAP1	1.07	1.341	0.741	1.184	0.673	0.102	0.815	1.084	0.58	0.858	0.649
AFAP1L2	0.602	1.077	0.484	1.577	1.927	0.082	0.42	1.866	0.213	9.693	0.613
AFF1	9.156	6.772	9.658	3.559	17.323	5.9	9.397	12.108	22.38	11.316	6.655
AFF2	0.326	0.107	0.317	2.433	0.185	0.053	0.803	1.331	0.024	0.331	1.559
AFF2	0.326	0.107	0.317	2.433	0.185	0.053	0.803	1.331	0.024	0.331	1.559
AFF3	2.369	1.191	0.871	5.043	0.581	0.229	1.888	3.761	0.153	5.19	1.632
AFG3L2	6.903	9.095	15.502	12.097	14.567	14.206	4.642	7.055	13.217	7.456	7.558
AFM	0.074	0.052	0.028	0	11.726	41.994	0	0	0	0.127	0.157
ADCY2	0.078	0.184	0.028	5.846	0.037	0	0.069	0.255	2.885	0.105	0.816
AFMID	0.177	0.165	0.209	0.122	3.065	1.626	0.771	0.216	0.036	0.326	0.151
AFMID	1.901	1.165	1.272	3.744	6.653	16.682	2.309	1.345	0.406	1.852	1.245
AFTPH	3.251	2.943	2.971	5.235	9.067	3.819	5.902	3.771	2.512	9.037	5.581
AGAP11	1.292	0.179	0.213	0.192	0.364	0.013	0.269	0.688	0.345	0.153	0.562
AGAP4	0	0	0	0	0	0	0	0	0	0	0
AGAP5	0.151	0.265	0.054	0.047	0.069	0.117	0.07	0.206	0.073	0.168	0.149
AGAP6	0.026	0.121	0.047	0.014	0.054	0	0.061	0.035	0.08	0.101	0.136
AGAP7	0	0	0	0.016	0.038	0	0	0	0	0.01	0.065
AGBL3	0.135	0.095	0.053	0.14	0.126	0.069	0.208	0.185	0.271	0.23	0.809
AGBL5	0.919	0.929	0.543	1.088	1.894	0.648	0.533	0.915	0.319	0.719	10.148
AGL	2.869	1.545	5.491	3.459	3.801	12.356	1.717	1.488	16.081	2.939	2.887
AGPAT1	0.295	0.375	0.862	1.028	0.997	0.611	0.61	1.168	0.559	0.791	0.709
AGPAT3	5.683	3.081	5.194	8.232	11.966	8.103	2.936	1.726	3.957	5.462	3.212
XAGE1C	0	0	0	0	0	0	0	0	0	0	0
AGPHD1	3.421	1.941	1.847	4.021	6.865	2.198	1.066	4.259	3.776	1.108	2.33
AGR2	0.075	28.257	0	0	0.34	0.124	3.426	0.078	0	0.104	0.32
AGR3	0	4.354	0	0	0.124	0	3.201	0	0	0	0
AGTPBP1	2.185	0.82	6.341	12.03	2.53	1.238	5.471	1.53	2.209	6.402	3.96
AGTR1	1.688	0.064	0.626	0.031	0.768	5.085	0.807	0.263	0.801	0.852	0.416
AGTRAP	0.424	0.183	0.629	0.538	0.494	0.036	0.326	0.034	0.237	0.676	0.167
AGTRAP	0.404	0.174	0.599	0.512	0.47	0.034	0.31	0.032	0.226	0.644	0.159
AGTRAP	0.379	0.163	0.592	0.482	0.442	0.032	0.292	0.031	0.212	0.605	0.187
AGXT2L1	0	0.51	9.29	44.941	0.561	36.915	0	0.091	0.336	0.54	0.141
AGXT2L1	0	0.505	9.195	44.497	0.555	36.536	0	0.09	0.333	0.534	0.139
AHCTF1	6.792	2.39	9.283	7.482	7.293	6.319	7.888	13.175	7.018	12.657	20.336
AHCYL2	1.361	9.239	0.613	11.338	5.148	1.164	3.375	1.371	3.191	1.389	2.89
XAGE1C	0	0	0	0	0	0	0	0	0	0	0
AHSA2	4.714	4.854	2.572	2.714	6.272	1.003	3.645	4.863	1.938	6.235	5.398
AICDA	0.013	0.018	0	0	0	0	0.071	0.028	0	0.055	0.045
AIF1	10.678	2.09	10.166	16.057	3.985	2.993	12.197	1.987	0.792	49.271	2.317
AIFM1	3.42	4.01	18.89	3.613	37.109	17.996	3.173	1.903	6.41	6.025	10.895
AIFM1	2.33	2.648	12.99	2.443	25.695	11.988	2.232	1.419	4.429	3.948	7.478
AIFM1	3.702	3.912	16.187	3.51	31.584	20.772	2.629	2.303	6.11	4.763	9.28
AIFM3	0.03	1.641	0.061	1.919	0.046	0.133	0.081	0	0	0.178	0
AIM2	0.049	0.208	0.025	0.026	0.025	0.109	0.514	0	0	6.383	0.074
AIPL1	0.039	0.046	0	0.041	0.007	0	0.01	0.062	0.008	0	0.039
AIPL1	0.037	0.043	0	0.038	0.006	0	0.01	0.058	0.007	0	0.037
AJAP1	0.201	0.22	0.057	9.165	1.269	0.083	0.222	0.914	0.061	0.773	0.998
AK1	1.442	1.453	9.93	3.712	1.416	1.716	2.58	1.416	14.711	2.331	3.059
AK2	4.643	4.571	4.001	2.669	12.304	6.853	3.799	3.144	2.843	6.148	3.575
AK5	0.159	1.333	0.308	119.493	0.32	0.051	0.251	0.542	0.249	0.748	1.124
AKAP1	5.839	12.54	9.687	5.156	6.285	8.668	2.755	2.155	11.142	2.419	8.892
AKAP12	39.799	11.576	18.338	41.979	18.579	4.919	30.314	63.797	7.506	24.722	76.222
AKAP12	38.845	11.293	17.906	41.076	18.163	4.785	29.611	62.367	7.345	24.157	74.504
AKAP14	0	0.039	0.056	0.229	0.056	0	0.769	0	0	0.115	2.728
AKAP3	0.207	0.213	0.395	0.339	0.596	0.215	0.131	0.21	0.295	0.311	18.341
AKAP4	0	0	0	0	0.006	0.014	0.01	0	0	0	22.181
AKAP7	0.474	0.984	0.713	1.678	0.47	1.811	0.546	0.884	0.373	0.972	0.681
AKAP7	4.749	2.131	5.122	7.107	4.193	15.994	4.349	8.587	2.582	4.691	10.41
AKAP9	10.044	5.483	15.869	15.195	19.391	14.983	16.159	26.198	26.188	20	17.861
AKAP9	10.024	5.472	15.839	15.166	19.362	14.954	16.128	26.151	26.137	19.962	17.826
AKIRIN1	4.326	3.695	8.144	10.654	8.071	8.309	5.16	3.614	2.259	9.828	14.695
AKIRIN1	4.233	3.54	7.74	10.126	7.773	8.061	4.904	3.477	2.155	9.378	14.041
AKIRIN2	10.674	4.916	15.416	16.844	7.071	9.257	11.766	16.236	30.223	32.46	17.372
AKR1A1	4.489	3.509	4.266	2.828	21.071	11.892	4.256	2.431	2.45	6.425	2.764
AKR7L	0.104	0.778	0.044	0.305	2.157	1.379	0.107	0.336	0.074	0.204	0.274
AKT1	2.151	2.504	1.834	1.293	1.129	2.685	1.049	0.624	0.722	1.419	0.656
ALAS1	4.058	2.425	6.242	4.502	4.506	24.641	3.356	1.572	2.993	2.521	3.349
ALB	0.409	14.902	37.193	0.152	24.347	8473.44	17.437	53.925	29.994	61.659	40.131
ALDH16A1	0.142	0.248	0.09	0.024	0.113	0.026	0.146	0.019	0.007	0.294	0.005
ALDH18A1	2.942	7.877	2.508	3.573	4.602	11.039	2.271	3.362	0.778	3.746	3.284
ALDH1A2	1.4	0.038	1.51	0.818	2.236	0.096	2.079	2.561	0.559	0.691	7.199
ALDH1L1	3.572	0.79	1.652	2.825	13.456	12.536	0.316	0.664	2.69	0.114	1.46
ALDH3A1	0.083	0.581	0.032	0.193	0.105	0.023	1.547	0	0.113	0.029	0.035
ALDH3A1	0.076	0.534	0.029	0.177	0.096	0.021	1.422	0	0.104	0.026	0.033
RICS	0.731	2.413	0.385	8.046	1.789	0.717	1.065	2.181	0.598	0.818	2.302
ALDH3A2	8.272	2.667	2.87	3.807	6.461	8.427	4.44	2.387	4.163	2.243	3.105
ALDH3A2	8.011	2.603	2.779	3.707	6.256	8.16	4.3	2.327	4.066	2.172	3.023
ALDH3B1	0.759	0.315	0.562	0.226	1.227	0.227	1.939	0.242	0.156	1.672	0.269
ALDH3B2	0.015	0.01	0	0.03	0.022	0	0.034	0	0	0	0
ALDH3B2	0	0	0	0.029	0.014	0	0.011	0	0	0	0
ALDH8A1	0.029	0.142	0.037	0.104	10.824	29.851	0.111	0.355	0.271	0.24	0.185
ALDOB	0.182	8.289	1.452	0.125	788.91	852.899	0.664	2.32	0.834	2.701	2.03
ALDOC	25.399	2.071	16.768	85.212	0.494	9.668	1.112	2.839	0.323	1.6	2.213
ALG10	0.164	0.214	0.078	0.327	0.219	0.155	0.406	0.418	0.1	0.374	0.236
XAGE1D	0	0	0	0	0	0	0	0	0	0	0
XPO5	1.082	1.256	1.317	1.929	1.632	1.707	0.716	1.265	0.966	2.008	2.948
ZBTB42	0.222	0.333	0.431	0.136	0.48	0.446	0.731	0.174	0.214	0.356	0.276
ZBTB7C	0.273	3.759	0.377	0.614	0.212	0.108	0.548	0.935	0.166	2.309	1.438
ZDHHC21	2.332	1.472	4.351	10.279	4.299	1.838	6.487	5.14	2.408	8.724	6.32
ALG5	6.519	6.689	5.542	8.072	10.442	25.793	6.041	5.569	2.865	8.388	6.643
ALG9	5.031	1.299	3.177	3.37	2.483	3.815	2.057	3.756	1.815	2.677	3.827
ALKBH2	1.104	0.644	0.841	1.678	0.991	3.148	0.566	1.268	0.836	1.697	1.087
ALKBH5	4.054	5.108	25.576	8.929	11.698	8.048	9.576	12.363	37.059	14.188	18.249
ALOX12P2	0	0.074	0.013	0.26	0.362	0.556	0.214	0.125	0.024	0.092	0.385
ALOX15	0.014	0.192	0.028	0.014	0.007	0	1.136	0.007	0.017	0.123	0.076
ALOX15B	0.162	0.299	0.531	0.046	0.134	0.146	4.872	0.193	0.036	1.049	0.013
ALPL	1.048	0.171	3.513	2.859	6.4	8.109	6.437	0.278	0.052	7.535	0.38
ZFATAS	0	0	0	0	0	0	0	0	0	0	0
ZFP57	0	0	0.319	0.365	0.139	0	0	0.031	0.012	0.163	0.168
ZFP57	0	0	0.319	0.365	0.139	0	0	0.031	0.012	0.163	0.168
AMDHD2	0.023	0.244	0.047	0	0.117	0	0.036	0.024	0.042	0.353	0.04
AMDHD2	0.018	0.149	0.009	0	0.054	0	0	0.009	0.032	0.147	0
AMHR2	0	0	0	0	0	0	0	0.244	0	0	0.149
AMHR2	0	0	0	0	0	0	0	0.217	0	0	0.177
AMMECR1	0.549	0.551	0.816	0.56	1.629	1.129	1.22	4.646	0.591	2.677	1.523
