Gene	Module	kME
MYH13	P1_I2_M1	0.99
UPP2	P1_I2_M13	0.94
PRSS21	P1_I2_M2	0.97
MARK4	P1_I2_M2	0.8
CEACAM21	P1_I2_M1	0.89
DNAH9	P1_I2_M18	0.99
KIAA0100	P1_I2_M3	0.86
SLC13A2	P1_I2_M10	0.94
GAS7	P1_I2_M4	0.89
CEACAM7	P1_I2_M21	0.96
SCN4A	P1_I2_M8	0.9
ST7L	P1_I2_M2	0.99
TKTL1	P1_I2_M2	0.96
RPUSD1	P1_I2_M1	0.84
LUC7L	P1_I2_M3	0.87
CACNA2D2	P1_I2_M23	0.95
TEAD3	P1_I2_M16	0.87
FMO3	P1_I2_M6	0.99
NOX1	P1_I2_M21	0.96
SYN1	P1_I2_M4	0.97
TFAP2B	P1_I2_M12	0.84
TFAP2D	P1_I2_M1	0.99
DLEC1	P1_I2_M18	0.88
ADAM22	P1_I2_M4	0.9
CELSR3	P1_I2_M1	0.99
PLEKHG6	P1_I2_M10	0.84
MGST1	P1_I2_M6	0.81
CRY1	P1_I2_M2	0.87
PGLYRP1	P1_I2_M14	0.97
MAPK8IP2	P1_I2_M4	0.98
RPS20	P1_I2_M15	0.95
UBE3C	P1_I2_M3	0.83
TENM1	P1_I2_M1	0.98
PAX7	P1_I2_M1	0.98
MASP2	P1_I2_M6	0.98
TRAF3IP3	P1_I2_M5	0.95
BAZ1B	P1_I2_M3	0.94
RANBP9	P1_I2_M2	0.87
SPRTN	P1_I2_M1	0.82
DYRK4	P1_I2_M2	0.96
UQCRC1	P1_I2_M8	0.8
HHATL	P1_I2_M19	0.98
IFFO1	P1_I2_M1	0.86
PHF7	P1_I2_M2	0.92
FUZ	P1_I2_M2	0.89
SLC6A13	P1_I2_M13	0.99
IDS	P1_I2_M4	0.94
PRSS3	P1_I2_M24	1.0
LRRC23	P1_I2_M18	0.97
BTK	P1_I2_M5	0.94
FMO1	P1_I2_M13	0.97
SLC6A7	P1_I2_M1	0.88
BTBD7	P1_I2_M1	0.85
APBA3	P1_I2_M1	0.96
MBTD1	P1_I2_M2	0.92
UTP18	P1_I2_M2	0.85
LARS2	P1_I2_M1	0.8
PIK3C2A	P1_I2_M7	0.93
PLAUR	P1_I2_M14	0.93
ANLN	P1_I2_M4	0.9
RABGAP1	P1_I2_M3	0.88
QPCTL	P1_I2_M1	0.96
ZBTB32	P1_I2_M2	0.96
PRICKLE3	P1_I2_M1	0.89
EHD3	P1_I2_M4	0.87
PSMC4	P1_I2_M3	0.84
CLDN11	P1_I2_M2	0.84
ANGEL1	P1_I2_M2	0.82
GPRC5A	P1_I2_M23	0.93
CD6	P1_I2_M5	0.96
UFL1	P1_I2_M3	0.89
POLA2	P1_I2_M1	0.85
ZC3H3	P1_I2_M1	0.85
MDH1	P1_I2_M19	0.8
WAS	P1_I2_M5	0.96
MATR3	P1_I2_M3	0.82
NPC1L1	P1_I2_M10	0.96
RGPD5	P1_I2_M1	0.98
STMN4	P1_I2_M4	0.97
NUDCD3	P1_I2_M1	0.94
CHDH	P1_I2_M13	0.83
CLCA1	P1_I2_M10	0.82
RUFY3	P1_I2_M4	0.8
CNTN1	P1_I2_M4	0.93
SLC11A1	P1_I2_M1	0.88
WWTR1	P1_I2_M16	0.83
CXorf56	P1_I2_M3	0.86
ZNF582	P1_I2_M1	0.91
VSIG2	P1_I2_M22	0.93
MARCO	P1_I2_M23	0.9
SYT13	P1_I2_M4	0.85
HGF	P1_I2_M11	0.99
NCDN	P1_I2_M4	0.98
ZFP64	P1_I2_M1	0.87
MNAT1	P1_I2_M7	0.89
SAMD4A	P1_I2_M2	0.88
RUNX3	P1_I2_M5	0.87
PLEKHB1	P1_I2_M4	0.93
SLC7A9	P1_I2_M10	0.88
NRXN3	P1_I2_M4	0.8
AQR	P1_I2_M1	0.94
CPS1	P1_I2_M6	0.93
C8B	P1_I2_M6	0.99
FHL1	P1_I2_M8	0.94
GABRA1	P1_I2_M4	0.98
NLRP2	P1_I2_M1	0.99
GRAMD1B	P1_I2_M20	0.91
ALAS1	P1_I2_M20	0.92
BIRC3	P1_I2_M5	0.85
SNAPC1	P1_I2_M2	0.87
DEF6	P1_I2_M5	0.91
EHD2	P1_I2_M16	0.86
DEPDC1	P1_I2_M1	0.91
HSF2	P1_I2_M2	0.91
HSD17B6	P1_I2_M6	0.97
TOMM34	P1_I2_M2	0.87
KPNA6	P1_I2_M7	0.84
VIM	P1_I2_M15	0.81
INSRR	P1_I2_M1	0.99
SH2D2A	P1_I2_M1	0.82
POU2F2	P1_I2_M5	0.94
BRD9	P1_I2_M1	0.88
TBPL1	P1_I2_M2	0.94
ANK1	P1_I2_M8	0.98
IBSP	P1_I2_M1	0.99
HMGB3	P1_I2_M11	0.82
NUP160	P1_I2_M3	0.9
MUSK	P1_I2_M1	0.98
CENPQ	P1_I2_M1	0.93
IFT88	P1_I2_M2	0.94
ABCF2	P1_I2_M3	0.87
LRRC7	P1_I2_M1	0.92
PIAS1	P1_I2_M3	0.87
APBA2	P1_I2_M1	0.94
EFCAB1	P1_I2_M18	0.96
ASTE1	P1_I2_M1	0.91
VCL	P1_I2_M16	0.91
RFC1	P1_I2_M3	0.83
CUL3	P1_I2_M2	0.89
MYOM2	P1_I2_M19	0.98
OTC	P1_I2_M6	0.81
CYP46A1	P1_I2_M4	0.98
CASR	P1_I2_M7	0.94
TUBG2	P1_I2_M4	0.86
RPL26L1	P1_I2_M2	0.84
MFAP3	P1_I2_M7	0.86
TLL1	P1_I2_M1	0.94
CLEC16A	P1_I2_M2	0.94
MSR1	P1_I2_M23	0.96
SKIV2L2	P1_I2_M3	0.86
DNAH5	P1_I2_M1	0.97
C6	P1_I2_M6	0.97
SOX30	P1_I2_M2	0.97
SPDL1	P1_I2_M2	0.97
PQLC2	P1_I2_M1	0.83
RTN4R	P1_I2_M1	0.81
PHF23	P1_I2_M3	0.84
MYO16	P1_I2_M1	0.99
LSG1	P1_I2_M3	0.87
TDP1	P1_I2_M2	0.82
C2orf83	P1_I2_M1	0.99
SPATA7	P1_I2_M2	0.97
MED17	P1_I2_M1	0.99
RETSAT	P1_I2_M10	0.83
USH2A	P1_I2_M1	0.98
ZPBP	P1_I2_M2	0.95
ADAM28	P1_I2_M12	0.95
BARX2	P1_I2_M17	0.83
DCUN1D1	P1_I2_M2	0.93
ZIC2	P1_I2_M1	0.98
LCP2	P1_I2_M5	0.87
GUCA2B	P1_I2_M10	0.81
CNTLN	P1_I2_M1	0.89
GPM6B	P1_I2_M4	0.96
MAGEC2	P1_I2_M2	0.94
PREX2	P1_I2_M1	0.88
POLR2B	P1_I2_M3	0.91
CP	P1_I2_M6	0.98
ANO2	P1_I2_M1	0.9
SCML1	P1_I2_M2	0.91
FAM184B	P1_I2_M1	0.99
GOPC	P1_I2_M3	0.95
ROS1	P1_I2_M12	0.83
RRM2B	P1_I2_M7	0.82
LMO3	P1_I2_M4	0.89
GUCA1A	P1_I2_M2	0.9
RSF1	P1_I2_M3	0.92
R3HDM1	P1_I2_M4	0.84
ERCC8	P1_I2_M1	0.94
ADAMTS6	P1_I2_M1	0.99
UTS2	P1_I2_M1	0.98
TNFRSF9	P1_I2_M1	0.9
RCN1	P1_I2_M12	0.87
FOXP3	P1_I2_M1	0.92
PTCD2	P1_I2_M1	0.96
KIAA2022	P1_I2_M1	0.98
JKAMP	P1_I2_M3	0.88
DKK3	P1_I2_M19	0.84
NFE2L3	P1_I2_M11	0.87
SLC4A8	P1_I2_M1	0.88
LAMC3	P1_I2_M11	0.94
TNIP3	P1_I2_M1	0.95
MAPK9	P1_I2_M4	0.84
RAD51	P1_I2_M2	0.9
POLQ	P1_I2_M1	0.98
RRP12	P1_I2_M14	0.92
TTC17	P1_I2_M3	0.85
ALX4	P1_I2_M1	0.99
FSTL4	P1_I2_M1	0.93
MCF2L2	P1_I2_M1	0.85
NRIP2	P1_I2_M1	0.85
THRAP3	P1_I2_M3	0.86
ARID4B	P1_I2_M3	0.87
PTPRN	P1_I2_M4	0.97
HHAT	P1_I2_M1	0.97
FOXC1	P1_I2_M25	0.87
ATP9A	P1_I2_M4	0.91
SPO11	P1_I2_M1	0.93
FAM168A	P1_I2_M4	0.86
RELT	P1_I2_M14	0.99
CUL1	P1_I2_M2	0.87
FAM114A2	P1_I2_M2	0.87
TAB2	P1_I2_M3	0.86
PUM2	P1_I2_M3	0.88
ITIH4	P1_I2_M6	0.99
ITIH1	P1_I2_M6	0.99
HPF1	P1_I2_M3	0.84
ZFR	P1_I2_M3	0.87
ZNF280C	P1_I2_M1	0.91
NPFFR2	P1_I2_M1	0.98
PHF21B	P1_I2_M1	0.96
TRAF1	P1_I2_M5	0.91
RC3H2	P1_I2_M3	0.82
IL17RB	P1_I2_M13	0.89
GYG2	P1_I2_M1	0.82
SERPINB3	P1_I2_M17	0.93
SOAT1	P1_I2_M20	0.97
MSH4	P1_I2_M1	0.98
F7	P1_I2_M6	0.95
PITHD1	P1_I2_M7	0.84
USP13	P1_I2_M8	0.84
CDK14	P1_I2_M4	0.83
PPP1R12A	P1_I2_M16	0.9
CAMK2B	P1_I2_M4	0.93
CROCC	P1_I2_M1	0.91
POLR3E	P1_I2_M1	0.96
ATP2B4	P1_I2_M16	0.89
ZC3H11A	P1_I2_M3	0.87
UNKL	P1_I2_M1	0.93
PARP12	P1_I2_M1	0.85
TARBP1	P1_I2_M1	0.81
PSD	P1_I2_M4	0.93
CTDP1	P1_I2_M1	0.84
YBX3	P1_I2_M8	0.87
CREB3L3	P1_I2_M10	0.95
PIGV	P1_I2_M2	0.89
RIMBP2	P1_I2_M7	0.95
ACAA1	P1_I2_M6	0.84
LZTS1	P1_I2_M7	0.97
PRDM6	P1_I2_M1	0.96
WNT8A	P1_I2_M1	0.99
GUCY1B3	P1_I2_M7	0.9
ARSF	P1_I2_M1	0.93
GPBP1	P1_I2_M3	0.85
ZNF112	P1_I2_M1	0.93
WAPL	P1_I2_M2	0.81
APPBP2	P1_I2_M3	0.83
SEZ6	P1_I2_M4	0.95
EIF4B	P1_I2_M15	0.86
SLC6A16	P1_I2_M2	0.97
GLTSCR1	P1_I2_M1	0.8
RPL18	P1_I2_M15	0.92
CA11	P1_I2_M4	0.95
AHRR	P1_I2_M2	0.98
GSC2	P1_I2_M1	0.99
GPC1	P1_I2_M9	0.9
ADCK1	P1_I2_M1	0.96
RNF4	P1_I2_M3	0.88
CASP8	P1_I2_M5	0.89
TM7SF3	P1_I2_M13	0.85
SPA17	P1_I2_M2	0.91
TSPAN32	P1_I2_M1	0.88
DMRT3	P1_I2_M7	0.93
HIPK2	P1_I2_M4	0.85
TNPO3	P1_I2_M3	0.89
BORCS8-MEF2B	P1_I2_M1	0.99
SUGP2	P1_I2_M2	0.89
DDX20	P1_I2_M2	0.98
POU1F1	P1_I2_M1	0.99
SBNO2	P1_I2_M1	0.85
PMS1	P1_I2_M2	0.96
CALCRL	P1_I2_M23	0.85
UHRF1BP1	P1_I2_M1	0.82
GNAI3	P1_I2_M1	0.94
IPO5	P1_I2_M2	0.87
OAT	P1_I2_M10	0.89
MCM10	P1_I2_M1	0.95
ROPN1	P1_I2_M2	0.95
ANKRD44	P1_I2_M5	0.96
ADAT1	P1_I2_M3	0.84
TBC1D22B	P1_I2_M1	0.82
SPEN	P1_I2_M3	0.82
MAP2K4	P1_I2_M4	0.87
SNAP91	P1_I2_M4	0.99
COL17A1	P1_I2_M9	0.95
CDK13	P1_I2_M3	0.9
SLC9A7	P1_I2_M1	0.84
ELAVL1	P1_I2_M3	0.88
SMARCD1	P1_I2_M3	0.88
NFYC	P1_I2_M3	0.82
ZMYND12	P1_I2_M2	0.93
NGEF	P1_I2_M4	0.86
CD84	P1_I2_M5	0.92
ZNRD1	P1_I2_M1	0.97
CLDN18	P1_I2_M22	0.89
THUMPD1	P1_I2_M3	0.85
KIF26A	P1_I2_M1	0.98
ATG2B	P1_I2_M1	0.85
ACSM2B	P1_I2_M13	0.9
ZFAT	P1_I2_M11	0.88
STAG3	P1_I2_M2	0.97
MYO9A	P1_I2_M2	0.88
CACNB1	P1_I2_M8	0.91
STOML1	P1_I2_M4	0.9
DHX29	P1_I2_M3	0.81
DNTTIP2	P1_I2_M1	0.93
METTL22	P1_I2_M1	0.9
TP53BP1	P1_I2_M3	0.9
RRP15	P1_I2_M1	0.97
ZFY	P1_I2_M1	0.9
IARS2	P1_I2_M7	0.84
SYT1	P1_I2_M4	0.97
PDZD4	P1_I2_M4	0.99
ATP2B3	P1_I2_M1	0.83
ROCK1	P1_I2_M1	0.9
FGFR3	P1_I2_M9	0.95
HEATR6	P1_I2_M1	0.86
TBC1D25	P1_I2_M1	0.91
PRR11	P1_I2_M1	0.85
REEP1	P1_I2_M2	0.82
POLR1A	P1_I2_M1	0.9
TTC7A	P1_I2_M2	0.85
STON1-GTF2A1L	P1_I2_M1	0.97
RASGRP2	P1_I2_M5	0.9
PSME4	P1_I2_M2	0.88
IFT80	P1_I2_M3	0.88
PPP2R5B	P1_I2_M4	0.86
PYGM	P1_I2_M8	0.96
PAGE1	P1_I2_M1	0.83
PITX1	P1_I2_M17	0.96
TRPC7	P1_I2_M1	0.99
SDK2	P1_I2_M1	0.88
ADAM7	P1_I2_M12	0.98
NUP133	P1_I2_M3	0.94
VPS35	P1_I2_M1	0.86
DNAJA2	P1_I2_M3	0.88
GAL	P1_I2_M1	0.8
CLEC2D	P1_I2_M5	0.88
DRD4	P1_I2_M1	0.99
KIAA1107	P1_I2_M4	0.93
LRP6	P1_I2_M1	0.82
GUCY2C	P1_I2_M10	0.94
PHRF1	P1_I2_M1	0.98
IKBKAP	P1_I2_M7	0.84
DAPP1	P1_I2_M5	0.81
EXOC5	P1_I2_M1	0.83
CLTCL1	P1_I2_M2	0.88
FGF22	P1_I2_M1	0.96
FSTL3	P1_I2_M11	0.92
MNT	P1_I2_M1	0.86
JMJD6	P1_I2_M14	0.92
POLB	P1_I2_M2	0.85
ST6GALNAC1	P1_I2_M21	0.93
FRMPD1	P1_I2_M1	0.93
CNGB1	P1_I2_M1	0.99
CHAT	P1_I2_M1	0.97
CFAP20	P1_I2_M3	0.85
CSNK2A2	P1_I2_M2	0.84
CAMK2A	P1_I2_M4	0.97
EPHA8	P1_I2_M1	0.98
SLC12A3	P1_I2_M13	0.98
RAD18	P1_I2_M1	0.93
TRPM5	P1_I2_M1	0.97
RPL31	P1_I2_M15	0.96
SNX13	P1_I2_M3	0.85
MS4A12	P1_I2_M21	0.97
ING3	P1_I2_M14	0.85
TRIP13	P1_I2_M2	0.97
PRLH	P1_I2_M1	0.99
HLTF	P1_I2_M2	0.86
MYO3B	P1_I2_M1	0.84
CDH19	P1_I2_M1	0.92
SLC6A15	P1_I2_M1	0.82
ADGRL1	P1_I2_M4	0.89
SPP2	P1_I2_M6	1.0
ACTN1	P1_I2_M16	0.87
ZFYVE26	P1_I2_M1	0.88
PTPN18	P1_I2_M5	0.81
ASIC4	P1_I2_M1	0.95
TRPC5	P1_I2_M1	0.99
HMMR	P1_I2_M2	0.85
TRHDE	P1_I2_M1	0.94
FCGR2B	P1_I2_M11	0.98
STK10	P1_I2_M5	0.9
ACAP1	P1_I2_M5	0.86
CRMP1	P1_I2_M4	0.98
SIDT1	P1_I2_M1	0.83
MRVI1	P1_I2_M16	0.92
TMEM38A	P1_I2_M8	0.98
XRCC1	P1_I2_M3	0.85
SCARB1	P1_I2_M20	0.94
CYP2W1	P1_I2_M1	0.92
MOV10L1	P1_I2_M2	0.95
PANX2	P1_I2_M1	0.97
SELENOO	P1_I2_M1	0.93
TP63	P1_I2_M9	0.95
ALPK1	P1_I2_M1	0.92
CLCN4	P1_I2_M4	0.82
NLE1	P1_I2_M1	0.85
FNDC8	P1_I2_M2	0.98
GSDMB	P1_I2_M10	0.86
ADAM11	P1_I2_M1	0.86
PPP2R3A	P1_I2_M8	0.86
FERMT2	P1_I2_M16	0.9
TBX21	P1_I2_M1	0.89
NSF	P1_I2_M4	0.98
GLI2	P1_I2_M1	0.92
PPP2R2C	P1_I2_M4	0.9
TEAD2	P1_I2_M16	0.89
CDHR2	P1_I2_M10	0.97
SNCB	P1_I2_M4	0.97
TSG101	P1_I2_M3	0.83
NCBP3	P1_I2_M1	0.87
SLC24A1	P1_I2_M1	0.93
SCARF1	P1_I2_M1	0.86
NOX3	P1_I2_M1	0.99
SLC12A1	P1_I2_M13	0.97
TUBE1	P1_I2_M2	0.85
KCNQ2	P1_I2_M4	0.96
ACTR6	P1_I2_M1	0.81
TIPIN	P1_I2_M2	0.91
SRI	P1_I2_M21	0.86
EIF4G3	P1_I2_M2	0.83
SEMA3A	P1_I2_M1	0.84
GTSE1	P1_I2_M1	0.87
TTC38	P1_I2_M10	0.82
WNT8B	P1_I2_M1	0.99
ZNF638	P1_I2_M3	0.95
SLC25A40	P1_I2_M1	0.83
FGF4	P1_I2_M1	0.99
ZNF37A	P1_I2_M1	0.81
MARK3	P1_I2_M3	0.81
CACNG5	P1_I2_M1	0.99
CACNG4	P1_I2_M4	0.89
MOCOS	P1_I2_M1	0.88
ATP12A	P1_I2_M1	0.8
WDR62	P1_I2_M2	0.96
SEC31B	P1_I2_M1	0.99
SART3	P1_I2_M3	0.95
ARHGAP15	P1_I2_M5	0.94
TUBA3D	P1_I2_M2	0.95
KIFAP3	P1_I2_M4	0.82
MKRN2	P1_I2_M2	0.88
PTPN23	P1_I2_M7	0.9
MLH1	P1_I2_M3	0.83
FMO4	P1_I2_M13	0.89
RGS11	P1_I2_M1	0.8
SPAG5	P1_I2_M2	0.93
GPATCH1	P1_I2_M1	0.96
MBNL3	P1_I2_M11	0.93
ARHGEF1	P1_I2_M5	0.92
NMRK2	P1_I2_M19	0.98
TOP2B	P1_I2_M3	0.85
NFKB2	P1_I2_M5	0.86
DNAJC10	P1_I2_M12	0.88
IL4R	P1_I2_M5	0.86
USP33	P1_I2_M3	0.93
CAPN6	P1_I2_M12	0.86
DCX	P1_I2_M1	0.95
SPAG6	P1_I2_M2	0.9
APBB1IP	P1_I2_M5	0.97
SIRT6	P1_I2_M1	0.85
ACTN2	P1_I2_M8	0.91
FGFR1	P1_I2_M16	0.83
FKBP6	P1_I2_M2	0.99
SMC1B	P1_I2_M2	0.99
CST7	P1_I2_M14	0.97
MAP2	P1_I2_M4	0.97
PIAS2	P1_I2_M2	0.97
AMPH	P1_I2_M4	0.99
LAMP3	P1_I2_M23	0.98
ACER3	P1_I2_M1	0.88
PIK3C3	P1_I2_M3	0.93
N4BP2	P1_I2_M1	0.97
TIGAR	P1_I2_M1	0.88
ADCY2	P1_I2_M4	0.9
RBFOX1	P1_I2_M4	0.93
HOXA9	P1_I2_M1	0.8
MLLT10	P1_I2_M2	0.93
ZCWPW1	P1_I2_M2	1.0
ADCYAP1R1	P1_I2_M4	0.95
FGF20	P1_I2_M1	0.99
P2RY10	P1_I2_M5	0.94
PCM1	P1_I2_M2	0.85
TNRC6C	P1_I2_M1	0.83
BRINP1	P1_I2_M4	0.96
PKD2L2	P1_I2_M1	0.94
TP73	P1_I2_M1	0.92
TOLLIP	P1_I2_M4	0.87
UBE2D4	P1_I2_M1	0.88
CLUL1	P1_I2_M1	0.87
RUNX1T1	P1_I2_M1	0.84
CDH17	P1_I2_M10	0.83
OSBPL6	P1_I2_M1	0.86
SLC1A3	P1_I2_M4	0.96
XRCC5	P1_I2_M3	0.84
SP140	P1_I2_M5	0.94
TNS1	P1_I2_M16	0.87
REXO1	P1_I2_M2	0.8
CDC14A	P1_I2_M2	0.93
CEACAM1	P1_I2_M21	0.9
SENP1	P1_I2_M2	0.97
DUSP13	P1_I2_M8	0.88
AFM	P1_I2_M6	0.99
PGM1	P1_I2_M8	0.93
MOXD1	P1_I2_M16	0.83
DDX43	P1_I2_M2	0.92
PTPRH	P1_I2_M10	0.9
DCT	P1_I2_M9	0.98
EPHA6	P1_I2_M1	0.92
RFX3	P1_I2_M2	0.92
RAB21	P1_I2_M1	0.9
RDH8	P1_I2_M1	0.99
PIH1D3	P1_I2_M1	0.85
CPB2	P1_I2_M6	0.99
CNOT4	P1_I2_M3	0.85
CLDND1	P1_I2_M4	0.87
MOK	P1_I2_M2	0.92
RBL1	P1_I2_M1	0.93
IGSF9B	P1_I2_M1	0.95
CFHR2	P1_I2_M6	0.99
AP4E1	P1_I2_M1	0.94
AFP	P1_I2_M1	0.98
CDH7	P1_I2_M1	0.99
IMPG2	P1_I2_M1	0.89
PCNP	P1_I2_M3	0.86
PTPRC	P1_I2_M5	0.93
CACNA1S	P1_I2_M8	0.97
PKP1	P1_I2_M9	0.95
ZNF510	P1_I2_M1	0.85
LRP2	P1_I2_M7	0.92
ZNF506	P1_I2_M1	0.85
JMJD4	P1_I2_M1	0.9
SLC13A1	P1_I2_M13	0.97
PCDHB4	P1_I2_M1	0.93
PCDHA6	P1_I2_M1	0.99
PCDHGA2	P1_I2_M1	0.95
PHLPP1	P1_I2_M4	0.87
ATP8B1	P1_I2_M21	0.83
IL12RB2	P1_I2_M1	0.93
FYB	P1_I2_M5	0.94
MPP4	P1_I2_M1	0.99
C5orf22	P1_I2_M1	0.86
CCNT2	P1_I2_M3	0.83
COL19A1	P1_I2_M1	0.98
KCNK2	P1_I2_M20	0.93
SERTAD4	P1_I2_M1	0.97
GEMIN5	P1_I2_M1	0.88
OPRK1	P1_I2_M1	0.99
SEMA5B	P1_I2_M1	0.93
ERC1	P1_I2_M1	0.85
XPO1	P1_I2_M3	0.87
TRPM3	P1_I2_M1	0.86
PALB2	P1_I2_M1	0.91
ULK2	P1_I2_M2	0.91
PLOD1	P1_I2_M16	0.8
P2RX5	P1_I2_M5	0.93
ITGAE	P1_I2_M1	0.92
NUFIP1	P1_I2_M1	0.96
EPYC	P1_I2_M1	0.95
SLC27A5	P1_I2_M6	0.99
ZNF324	P1_I2_M1	0.95
ZNF671	P1_I2_M1	0.84
ZNF416	P1_I2_M1	0.97
ZNF446	P1_I2_M1	0.91
ZNF264	P1_I2_M1	0.83
RPS5	P1_I2_M15	0.95
SMAP2	P1_I2_M5	0.87
PPIE	P1_I2_M3	0.89
NOA1	P1_I2_M1	0.82
SSH1	P1_I2_M1	0.93
WBP11	P1_I2_M3	0.82
NKAIN1	P1_I2_M1	0.84
TXLNA	P1_I2_M3	0.88
APOB	P1_I2_M6	0.86
AGBL5	P1_I2_M2	0.93
KIF3C	P1_I2_M4	0.99
GCKR	P1_I2_M6	0.87
MAPRE3	P1_I2_M4	0.89
BCORL1	P1_I2_M1	0.83
FCN1	P1_I2_M14	0.9
HACE1	P1_I2_M11	0.83
OVGP1	P1_I2_M18	0.91
MAP3K4	P1_I2_M1	0.82
ABCB1	P1_I2_M20	0.82
ZNF213	P1_I2_M1	0.87
AKR1B1	P1_I2_M20	0.97
WNT11	P1_I2_M1	0.84
ATG16L1	P1_I2_M1	0.94
POMGNT1	P1_I2_M7	0.87
RAD54L	P1_I2_M1	0.84
NFX1	P1_I2_M3	0.89
AQP6	P1_I2_M1	0.82
NME8	P1_I2_M1	0.88
SEPHS1	P1_I2_M3	0.82
ITPKC	P1_I2_M17	0.82
FAT2	P1_I2_M9	0.98
PPEF1	P1_I2_M1	0.82
LAT2	P1_I2_M5	0.95
MYBPC2	P1_I2_M8	0.82
NOX4	P1_I2_M13	0.98
ACHE	P1_I2_M8	0.89
PIGS	P1_I2_M1	0.87
TMPRSS11E	P1_I2_M17	0.97
MT3	P1_I2_M4	0.96
GNAO1	P1_I2_M4	0.98
L2HGDH	P1_I2_M1	0.82
NID2	P1_I2_M11	0.8
SF3B2	P1_I2_M3	0.87
PHACTR3	P1_I2_M4	0.97
TFAP2C	P1_I2_M9	0.85
AURKA	P1_I2_M2	0.84
RFX2	P1_I2_M2	0.95
METTL2A	P1_I2_M1	0.97
ALG6	P1_I2_M1	0.86
GP6	P1_I2_M1	0.99
DDX18	P1_I2_M3	0.83
GNA11	P1_I2_M10	0.82
DNMT3B	P1_I2_M1	0.97
REM1	P1_I2_M1	0.86
PDRG1	P1_I2_M7	0.87
SLC15A1	P1_I2_M10	0.92
TMEM40	P1_I2_M17	0.89
KIF9	P1_I2_M2	0.87
ARHGAP28	P1_I2_M2	0.93
DEFB127	P1_I2_M12	0.98
SMOX	P1_I2_M4	0.83
ZNF343	P1_I2_M1	0.83
LZTS3	P1_I2_M4	0.87
F11	P1_I2_M6	0.96
XRN2	P1_I2_M3	0.85
RPL6	P1_I2_M15	0.96
SIRPG	P1_I2_M5	0.88
DZANK1	P1_I2_M1	0.98
LHX5	P1_I2_M1	0.99
TASP1	P1_I2_M1	0.86
GCN1	P1_I2_M3	0.86
RPLP0	P1_I2_M15	0.88
SIRT4	P1_I2_M1	0.97
RPH3A	P1_I2_M4	0.98
CHGB	P1_I2_M20	0.99
BRAP	P1_I2_M2	0.97
NOS1	P1_I2_M1	0.9
IGBP1	P1_I2_M15	0.83
FXYD5	P1_I2_M5	0.81
FXYD3	P1_I2_M21	0.91
CDIP1	P1_I2_M4	0.91
KCNH4	P1_I2_M1	0.99
GANAB	P1_I2_M3	0.8
GMIP	P1_I2_M5	0.89
RBM41	P1_I2_M1	0.84
OTUB2	P1_I2_M1	0.97
ZBTB25	P1_I2_M1	0.83
NECAP1	P1_I2_M4	0.95
ARHGAP4	P1_I2_M5	0.91
ANKRD24	P1_I2_M1	0.93
SPTLC1	P1_I2_M3	0.83
PAPOLA	P1_I2_M3	0.84
PCBP4	P1_I2_M4	0.86
ICAM1	P1_I2_M23	0.9
STRN4	P1_I2_M2	0.85
IRAK3	P1_I2_M14	0.91
SI	P1_I2_M10	0.95
TFAP4	P1_I2_M1	0.87
